Run,international_trade,max_eff,eutax,neighbor_influence,tax_influence,member_trade_multiplier,tax_distribution,member_count,other_count,average_cooperativeness,other_wealth,total_wealth,member_wealth,other_eff,total_eff,member_eff,gini_coefficient,stdev_agent_cooperativeness
3922,False,1.7255859375,0.531396484375,0.09853515625,0.043847656250000006,1.450537109375,0.8572265625000001,266.0,54.0,0.6579983520507817,27258.873146304322,31873.07531607374,32809.793049786334,1.70351144043262,1.7398990781999892,1.7472860422580268,0.12379315551745479,0.7301378134079408
2178,False,0.2607421875,0.153466796875,0.16845703125,0.16220703125000002,1.121826171875,0.9048828125,298.0,22.0,0.8183999633789055,25077.384723009145,25926.382497733666,25989.060185800576,1.5563315099258614,1.4931415715577638,1.4884765425507231,0.014754847110656628,0.47034839422569713
4794,False,0.0361328125,0.277001953125,0.17099609375000002,0.19169921875,1.071337890625,0.9701171875,49.0,271.0,-0.6908050537109375,25050.963982592057,24903.43712719877,24087.523294309372,1.5044943617199413,1.5027066641712377,1.4928196022182028,0.023698234316671,0.7199437024825093
5955,False,0.2314453125,0.309228515625,0.01220703125,0.16123046875000002,1.943603515625,0.9748046875,320.0,0.0,1.0,0.0,36474.51441529384,36474.51441529384,0.0,1.483982531791808,1.483982531791808,0.011740456527754822,0.0
6247,False,1.9033203125,0.544580078125,0.01533203125,0.00830078125,1.979052734375,0.9205078125,250.0,70.0,0.5623443603515625,31938.142089770932,38567.192215868876,40423.3262511763,2.1427935299891114,1.9630638935162785,1.9127395953038857,0.16146988231179402,0.8235226034740999
1885,False,0.7294921875,0.559716796875,0.06533203125,0.19033203125,1.7480957031250002,1.0986328125,1.0,319.0,-0.99375,25082.62867573067,25142.55843242516,44260.15081796895,1.515515278540674,1.5200448564631917,2.9649802137463075,0.314228727888995,0.11162856937182344
424,False,1.5654296875,0.428857421875,0.17080078125,0.15361328125,1.684716796875,1.1251953125,291.0,29.0,0.683858337402347,399809342837.3143,7.280317543362718e+22,8.005847470360516e+22,1.5335493623464171,1.7751532413324178,1.79923060384305,1.9624534833864127,0.5322364137062434
5377,False,0.1064453125,0.172509765625,0.04833984375,0.15029296875,1.505322265625,1.0841796875,1.0,319.0,-0.99375,25329.307456606137,25346.135583676696,30714.30811918509,1.4990993221984095,1.4999148512451783,1.760068617164471,0.06674683872210198,0.11162856937182344
138,False,1.251953125,0.47158203125,0.0974609375,0.1041015625,1.51767578125,1.025390625,1.0,319.0,-0.99375,27566.127032798904,27884.871436097554,129564.33608836622,1.644137593383886,1.6564291572156342,5.577438019543322,0.6754100989993173,0.11162856937182344
719,False,0.1865234375,0.163232421875,0.10966796875,0.04208984375,1.589111328125,0.9279296875,279.0,41.0,0.7487481689453132,24394.514243877242,30740.4859396967,31673.048088544718,1.4669153407542947,1.4804693998173726,1.482461214948506,0.05985231123420998,0.6542515275297341
5669,False,0.7470703125,0.102197265625,0.03271484375,0.13466796875,1.5923339843750002,0.9904296875,264.0,56.0,0.6526351928710937,40231.80199326922,31870.047301976934,30096.341761399784,2.721564853278894,1.5430400804422864,1.293049977113309,0.18847099678507456,0.7541092597693447
3047,False,0.7998046875,0.459130859375,0.07021484375,0.08857421875,1.797509765625,1.0912109375,1.0,319.0,-0.99375,24749.37038703611,25256.634360448155,187073.84187889067,1.43273832586794,1.442310160351313,4.495725360547352,0.48090515610909607,0.11162856937182344
2756,False,0.0615234375,0.338037109375,0.01025390625,0.17294921875000002,1.927490234375,1.0775390625,1.0,319.0,-0.99375,25532.098687952217,25548.06506725039,30641.340063367883,1.4999040999819682,1.5000887885317875,1.5590044359240967,0.05934522489089265,0.11162856937182344
1591,False,0.9755859375,0.516748046875,0.10419921875,0.05537109375,1.567626953125,0.8294921875000001,312.0,8.0,0.9373684692382798,29574.967001882847,31369.366321524838,31415.376560490018,2.1038783029369226,1.4753747035422262,1.45925922663467,0.010735195079598575,0.30262935074287245
5084,False,0.5830078125,0.479150390625,0.02568359375,0.01533203125,1.148681640625,1.0357421875,201.0,119.0,0.24724243164062573,31183.27543327532,192904393.98828334,307093011.2759906,1.51079504808821,1.5538818532550576,1.5793909568115496,1.9488404409590496,0.9596843999968183
4498,False,1.8173828125,0.394189453125,0.06162109375,0.01982421875,1.879150390625,0.8513671875000001,266.0,54.0,0.6609512329101566,32467.142169724688,39227.82483109494,40600.29424355356,2.205889819409229,2.016651228535623,1.978234371741733,0.14407792572944955,0.7419623465218901
